trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.26066074384082,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-70.93406700371635,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",30,0,-29.255982090784716,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.0625}",30,0,-118.15963428563893,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.04}",25,0,-70.88558001404351,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,-63.35958233807257,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",20,0,18.500315668343728,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.015625}",30,7,37.06530436623461,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",30,14,2.8368665268970172,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.01}",20,0,-17.3762649096359,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",25,3,-72.61165428224923,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,0,19.656858880474278,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",25,16,18.712530412348926,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",20,0,28.752334458780634,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",25,0,0.25677835569275054,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.00390625}",25,0,32.42486030071048,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",25,8,18.16184516712215,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",25,0,40.65473393726599,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",35,0,29.882585073995344,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.0025}",30,7,32.70372775355716,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,28.718425598311036,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,22.34509730324741,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,24.38186479600728,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,11,15.358058021619318,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,12,20.756681128685663,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,3,-15.730330652511448,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,2,-62.67803747334572,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",25,7,32.55121098065055,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,14,4.118026514193623,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,5,23.206818685137797,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
